City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
336,Filadelfia,US,78.01,broken clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
340,Batticaloa,LK,80.31,overcast clouds,7.7102,81.6924,Grand Star Guest House
342,Maine-Soroa,NE,89.44,broken clouds,13.2114,12.0241,Complexe
345,Matay,EG,79.32,clear sky,28.419,30.7792,Nag Aespen
351,Macapa,BR,82.38,few clouds,0.0389,-51.0664,Atalanta Hotel
352,Ibra,OM,78.57,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
359,Nanakuli,US,85.37,clear sky,21.3906,-158.1547,Camp Pālehua
367,Tagusao,PH,80.55,overcast clouds,9.1924,117.8141,Green Villa beach resort
378,Bac Lieu,VN,79.63,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
380,Bengkulu,ID,75.63,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
383,Talavera De La Reina,ES,82.0,clear sky,39.9635,-4.8308,Be Live City Center Talavera
389,Namatanai,PG,83.34,light rain,-3.6667,152.4333,Seagulls Inn Namatani
391,Sassandra,CI,77.38,overcast clouds,4.95,-6.0833,la terrasse
398,Pitimbu,BR,75.79,clear sky,-7.4706,-34.8086,Reserva do Abiaí
403,Tumpat,MY,78.78,few clouds,6.1978,102.171,Baan Tanyong B&B
408,Abu Dhabi,AE,87.91,clear sky,24.4667,54.3667,Beach Rotana
412,Balikpapan,ID,75.42,broken clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
418,Mahibadhoo,MV,83.21,overcast clouds,3.7833,72.9667,Omadhoo Inn
426,Hobyo,SO,78.69,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
429,Turan,VN,78.78,clear sky,16.0678,108.2208,Grand Mercure Danang
430,Jaisalmer,IN,85.37,clear sky,26.9147,70.9181,Hotel Fifu
437,Wilmington,US,80.51,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
438,Elat,IL,84.04,clear sky,29.5581,34.9482,Club Hotel Eilat
448,Minab,IR,89.92,few clouds,27.1467,57.0801,Bam campground
453,Kloulklubed,PW,83.48,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
457,Banda Aceh,ID,78.98,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
459,Villa Altagracia,DO,85.51,few clouds,18.673,-70.171,La Maison de AAVA
460,Alofi,NU,80.49,clear sky,-19.0595,-169.9187,Taloa Heights
462,Ravar,IR,81.61,clear sky,31.2656,56.8055,computertik
464,Coahuayana,MX,88.54,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
468,Hamilton,US,82.26,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
472,Itoman,JP,81.37,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
475,Fort-Shevchenko,KZ,75.31,overcast clouds,44.5086,50.263,Oasis hotel Bautino
482,Tautira,PF,78.15,broken clouds,-17.7333,-149.15,Pension Oaoa
485,Takoradi,GH,76.8,broken clouds,4.8845,-1.7554,Raybow International Hotel
