City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
122,Namibe,AO,-15.1961,12.1522,67.78,64,0,7.18,clear sky
123,Warri,NG,5.5167,5.75,75.83,93,100,4.83,overcast clouds
124,Cockburn Town,TC,21.4612,-71.1419,80.82,85,11,22.12,few clouds
125,Egvekinot,RU,66.3167,-179.1667,43.86,42,100,1.05,overcast clouds
126,Le Creusot,FR,46.8071,4.4163,65.66,98,75,3.42,broken clouds
127,Lyuban,BY,52.7985,28.0048,56.97,95,17,7.56,few clouds
128,Manokwari,ID,-0.8667,134.0833,81.64,72,60,5.95,broken clouds
129,Salta,AR,-24.7859,-65.4117,54.19,74,0,8.05,clear sky
130,Konin,PL,52.2234,18.2512,60.71,89,96,4.45,overcast clouds
131,Asahikawa,JP,43.7678,142.3703,51.01,93,75,3.44,broken clouds
132,Hecun,CN,36.5333,114.1111,77.72,43,0,6.96,clear sky
133,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.18,80,95,16.06,overcast clouds
134,Butaritari,KI,3.0707,172.7902,82.24,69,15,13.47,few clouds
135,Lucapa,AO,-8.4192,20.7447,66.15,47,7,3.51,clear sky
136,Kieta,PG,-6.2167,155.6333,83.84,70,25,5.57,light rain
137,Tura,IN,25.5198,90.2201,73.45,98,94,7.25,heavy intensity rain
138,Kaitangata,NZ,-46.2817,169.8464,41.27,95,62,15.52,broken clouds
139,Bredasdorp,ZA,-34.5322,20.0403,62.64,53,100,12.19,overcast clouds
140,Lander,US,42.833,-108.7307,92.21,16,0,10.36,clear sky
141,Atuona,PF,-9.8,-139.0333,77.9,67,73,16.42,broken clouds
142,Creel,MX,27.75,-107.6333,74.44,35,75,16.42,broken clouds
143,Meulaboh,ID,4.1363,96.1285,75.78,82,100,4.45,overcast clouds
144,Khvatovka,RU,52.3524,46.5628,49.23,86,2,2.95,clear sky
145,Garoua,CM,9.3,13.4,77.47,75,97,4.36,overcast clouds
146,Tabou,CI,4.423,-7.3528,77.49,80,94,8.75,overcast clouds
147,Cayenne,GF,4.9333,-52.3333,82.09,1,0,2.3,clear sky
148,Pisco,PE,-13.7,-76.2167,62.65,82,75,8.05,mist
149,Dubovyy Umet,RU,52.9763,50.2857,46.74,93,11,4.88,few clouds
150,Baykit,RU,61.67,96.37,59.95,66,91,1.41,overcast clouds
